"siteID","S_Training","E_Training","S_Testing","E_Testing"
"us57",1981-01-01,2018-01-15,2018-01-16,2019-12-31
"us198",1981-01-01,2011-11-29,2011-11-30,2019-12-31
"us201",1981-01-01,2016-11-28,2016-11-29,2019-12-31
"us222",1981-01-01,2012-05-31,2012-06-01,2019-12-31
"us231",1981-01-01,2016-08-09,2016-08-10,2019-12-31
"us234",1981-01-01,2011-03-09,2011-03-10,2019-12-31
"us239",1981-01-01,2012-05-08,2012-05-09,2019-12-31
"us243",1981-01-01,2010-09-27,2010-09-28,2019-12-31
"us244",1981-01-01,2016-11-17,2016-11-18,2019-12-31
"us297",1981-01-01,2016-10-05,2016-10-06,2019-12-31
"us320",1981-01-01,2014-11-11,2014-11-12,2019-12-31
"us322",1981-01-01,2012-12-02,2012-12-03,2019-12-31
"us330",1981-01-01,2014-07-01,2014-07-02,2019-12-31
"us331",1981-01-01,2011-07-19,2011-07-20,2019-12-31
"us333",1981-01-01,2011-07-20,2011-07-21,2019-12-31
"us337",1981-01-01,2013-02-18,2013-02-19,2019-12-31
"us339",1981-01-01,2012-12-19,2012-12-20,2019-12-31
"us342",1981-01-01,2016-10-05,2016-10-06,2019-12-31
"us345",1981-01-01,2011-05-19,2011-05-20,2019-12-31
"us351",1981-01-01,2014-04-13,2014-04-14,2019-12-31
"us358",1981-01-01,2014-08-21,2014-08-22,2019-12-31
"us365",1981-01-01,2011-12-08,2011-12-09,2019-12-31
"us369",1981-01-01,2010-12-16,2010-12-17,2019-12-31
"us370",1981-01-01,2016-02-10,2016-02-11,2019-12-31
"us372",1981-01-01,2015-12-27,2015-12-28,2019-12-31
"us373",1981-01-01,2012-07-25,2012-07-26,2019-12-31
"us389",1981-01-01,1994-01-02,1994-01-03,2019-12-31
"us437",1981-01-01,2016-04-04,2016-04-05,2019-12-31
"us453",1981-01-01,2006-04-09,2006-04-10,2019-12-31
"us474",1981-01-01,2013-05-21,2013-05-22,2019-12-31
"us501",1981-01-01,2009-02-17,2009-02-18,2019-12-31
"us515",1981-01-01,2008-09-23,2008-09-24,2019-12-31
"us518",1981-01-01,2012-06-11,2012-06-12,2019-12-31
"us526",1981-01-01,2008-08-20,2008-08-21,2019-12-31
"us529",1981-01-01,2003-11-23,2003-11-24,2019-12-31
"us535",1981-01-01,2008-09-07,2008-09-08,2019-12-31
"us539",1981-01-01,2008-08-20,2008-08-21,2019-12-31
"us540",1981-01-01,2008-08-25,2008-08-26,2019-12-31
"us547",1981-01-01,2008-08-05,2008-08-06,2019-12-31
"us550",1981-01-01,2007-07-02,2007-07-03,2019-12-31
"us560",1981-01-01,2012-09-25,2012-09-26,2019-12-31
"us568",1981-01-01,2007-06-27,2007-06-28,2019-12-31
"us577",1981-01-01,2011-05-04,2011-05-05,2019-12-31
"us578",1981-01-01,2012-09-04,2012-09-05,2019-12-31
"us588",1981-01-01,2008-06-25,2008-06-26,2019-12-31
"us593",1981-01-01,2008-08-26,2008-08-27,2019-12-31
"us594",1981-01-01,2008-04-30,2008-05-01,2019-12-31
"us651",1981-01-01,2013-12-17,2013-12-18,2019-12-31
"us653",1981-01-01,2013-05-20,2013-05-21,2019-12-31
"us658",1981-01-01,2015-10-13,2015-10-14,2019-12-31
"us660",1981-01-01,2009-03-03,2009-03-04,2019-12-31
"us668",1981-01-01,2015-09-23,2015-09-24,2019-12-31
"us670",1981-01-01,2015-07-28,2015-07-29,2019-12-31
"us686",1981-01-01,2015-01-14,2015-01-15,2019-12-31
"us694",1981-01-01,2013-07-23,2013-07-24,2019-12-31
"us701",1981-01-01,2004-05-16,2004-05-17,2019-12-31
"us702",1981-01-01,2015-07-20,2015-07-21,2019-12-31
"us706",1981-01-01,2016-04-13,2016-04-14,2019-12-31
"us714",1981-01-01,2010-08-31,2010-09-01,2019-12-31
"us724",1981-01-01,2015-09-28,2015-09-29,2019-12-31
"us729",1981-01-01,2015-10-28,2015-10-29,2019-12-31
"us733",1981-01-01,2017-04-25,2017-04-26,2019-12-31
"us734",1981-01-01,2015-06-28,2015-06-29,2019-12-31
"us745",1981-01-01,2015-07-14,2015-07-15,2019-12-31
"us756",1981-01-01,2007-08-08,2007-08-09,2019-12-31
"us760",1981-01-01,2017-03-27,2017-03-28,2019-12-31
"us764",1981-01-01,2015-05-10,2015-05-11,2019-12-31
"us770",1981-01-01,2004-06-22,2004-06-23,2019-12-31
"us775",1981-01-01,2004-06-30,2004-07-01,2019-12-31
"us776",1981-01-01,2005-07-18,2005-07-19,2019-12-31
"us778",1981-01-01,2008-09-01,2008-09-02,2019-12-31
